className,displayName,sourceSide,sourceFaction,sourceSubcategory,broadCategory,sourceWeapons
vn_o_air_mi2_05_03,Mi-2URP Salamander (MR),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_05_04,Mi-2URP Salamander (MR/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_03_05,Mi-2US Hoplite (FAC),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_03_06,Mi-2US Hoplite (FAC/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_03_01,Mi-2US Hoplite (Fuel),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_03_02,Mi-2US Hoplite (Fuel/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_03_03,Mi-2US Hoplite (MG),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_air_mi2_03_04,Mi-2US Hoplite (MG/ camo),EAST,PAVN,Helicopters (VPAF),ROTARY,vn_ns23_v_01;vn_pk_v_07;vn_v_launcher_m127;vn_v_launcher_m18r
vn_o_boat_01_00_kr,Boat,EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_01_00_pl,Boat,EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_01_03,Boat (Painted),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_01_03_kr,Boat (Painted),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_01_03_pl,Boat (Painted),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_01_04,Boat (Painted/ Good-Luck Eyes),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_01_04_kr,Boat (Painted/ Good-Luck Eyes),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_01_04_pl,Boat (Painted/ Good-Luck Eyes),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_01_00,Boat (Random),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_01_01,Boat (Wooden),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_01_01_kr,Boat (Wooden),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_01_01_pl,Boat (Wooden),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_01_02,Boat (Wooden/ Good-Luck Eyes),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_01_02_kr,Boat (Wooden/ Good-Luck Eyes),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_01_02_pl,Boat (Wooden/ Good-Luck Eyes),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_02_03,Long Boat (Painted),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_02_03_kr,Long Boat (Painted),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_02_03_pl,Long Boat (Painted),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_02_04,Long Boat (Painted/ Good-Luck Eyes),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_02_04_kr,Long Boat (Painted/ Good-Luck Eyes),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_02_04_pl,Long Boat (Painted/ Good-Luck Eyes),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_02_00,Long Boat (Random),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_02_00_kr,Long Boat (Random),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_02_00_pl,Long Boat (Random),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_02_01,Long Boat (Wooden),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_02_01_kr,Long Boat (Wooden),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_02_01_pl,Long Boat (Wooden),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_02_02,Long Boat (Wooden/ Good-Luck Eyes),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_02_02_kr,Long Boat (Wooden/ Good-Luck Eyes),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_02_02_pl,Long Boat (Wooden/ Good-Luck Eyes),EAST,Pathet Lao,Boats (Army),SEA,
vn_o_boat_08_02,Sampan (Long/ Cargo),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_08_02_kr,Sampan (Long/ Cargo),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_08_01,Sampan (Long/ Transport),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_08_01_kr,Sampan (Long/ Transport),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_07_02,Sampan (Short/ Cargo),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_07_02_kr,Sampan (Short/ Cargo),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_07_01,Sampan (Short/ Transport),EAST,Viet Cong,Boats (VC),SEA,
vn_o_boat_07_01_kr,Sampan (Short/ Transport),EAST,Khmer Rouge,Boats (Army),SEA,
vn_o_boat_01_mg_03,"Boat (RPD, Painted)",EAST,Viet Cong,Boats (VC),SEA,vn_rpd_v_01
vn_o_boat_01_mg_03_kr,"Boat (RPD, Painted)",EAST,Khmer Rouge,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_03_pl,"Boat (RPD, Painted)",EAST,Pathet Lao,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_04,"Boat (RPD, Painted/ Good-Luck Eyes)",EAST,Viet Cong,Boats (VC),SEA,vn_rpd_v_01
vn_o_boat_01_mg_04_kr,"Boat (RPD, Painted/ Good-Luck Eyes)",EAST,Khmer Rouge,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_04_pl,"Boat (RPD, Painted/ Good-Luck Eyes)",EAST,Pathet Lao,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_00,"Boat (RPD, Random)",EAST,Viet Cong,Boats (VC),SEA,vn_rpd_v_01
vn_o_boat_01_mg_00_kr,"Boat (RPD, Random)",EAST,Khmer Rouge,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_00_pl,"Boat (RPD, Random)",EAST,Pathet Lao,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_01,"Boat (RPD, Wooden)",EAST,Viet Cong,Boats (VC),SEA,vn_rpd_v_01
vn_o_boat_01_mg_01_kr,"Boat (RPD, Wooden)",EAST,Khmer Rouge,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_01_pl,"Boat (RPD, Wooden)",EAST,Pathet Lao,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_02,"Boat (RPD, Wooden/ Good-Luck Eyes)",EAST,Viet Cong,Boats (VC),SEA,vn_rpd_v_01
vn_o_boat_01_mg_02_kr,"Boat (RPD, Wooden/ Good-Luck Eyes)",EAST,Khmer Rouge,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_01_mg_02_pl,"Boat (RPD, Wooden/ Good-Luck Eyes)",EAST,Pathet Lao,Boats (Army),SEA,vn_rpd_v_01
vn_o_boat_02_mg_03,"Long Boat (DP27, Painted)",EAST,Viet Cong,Boats (VC),SEA,vn_dp28_v_01
vn_o_boat_02_mg_03_kr,"Long Boat (DP27, Painted)",EAST,Khmer Rouge,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_03_pl,"Long Boat (DP27, Painted)",EAST,Pathet Lao,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_04,"Long Boat (DP27, Painted/ Good-Luck Eyes)",EAST,Viet Cong,Boats (VC),SEA,vn_dp28_v_01
vn_o_boat_02_mg_04_kr,"Long Boat (DP27, Painted/ Good-Luck Eyes)",EAST,Khmer Rouge,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_04_pl,"Long Boat (DP27, Painted/ Good-Luck Eyes)",EAST,Pathet Lao,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_00,"Long Boat (DP27, Random)",EAST,Viet Cong,Boats (VC),SEA,vn_dp28_v_01
vn_o_boat_02_mg_00_kr,"Long Boat (DP27, Random)",EAST,Khmer Rouge,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_00_pl,"Long Boat (DP27, Random)",EAST,Pathet Lao,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_01,"Long Boat (DP27, Wooden)",EAST,Viet Cong,Boats (VC),SEA,vn_dp28_v_01
vn_o_boat_02_mg_01_kr,"Long Boat (DP27, Wooden)",EAST,Khmer Rouge,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_01_pl,"Long Boat (DP27, Wooden)",EAST,Pathet Lao,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_02,"Long Boat (DP27, Wooden/ Good-Luck Eyes)",EAST,Viet Cong,Boats (VC),SEA,vn_dp28_v_01
vn_o_boat_02_mg_02_kr,"Long Boat (DP27, Wooden/ Good-Luck Eyes)",EAST,Khmer Rouge,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_02_mg_02_pl,"Long Boat (DP27, Wooden/ Good-Luck Eyes)",EAST,Pathet Lao,Boats (Army),SEA,vn_dp28_v_01
vn_o_boat_03_02,Shantou Gunboat (V-11M/ Green),EAST,PAVN,Boats (PAVN),SEA,vn_dshkm_v_04;vn_dshkm_v_05;vn_rpd_v_06;vn_shantou_horn;vn_type56_v_03;vn_v11m_v_01;vn_v11m_v_02
vn_o_boat_03_01,Shantou Gunboat (V-11M/ Grey),EAST,PAVN,Boats (PAVN),SEA,vn_dshkm_v_04;vn_dshkm_v_05;vn_rpd_v_06;vn_shantou_horn;vn_type56_v_03;vn_v11m_v_01;vn_v11m_v_02
vn_o_boat_04_02,Shantou Gunboat (ZPU-4/ Green),EAST,PAVN,Boats (PAVN),SEA,searchlight;vn_dshkm_v_04;vn_dshkm_v_05;vn_shantou_horn;vn_type56_v_03;vn_v11m_v_01;vn_zpu4_v_quad_02
vn_o_boat_04_01,Shantou Gunboat (ZPU-4/ Grey),EAST,PAVN,Boats (PAVN),SEA,searchlight;vn_dshkm_v_04;vn_dshkm_v_05;vn_shantou_horn;vn_type56_v_03;vn_v11m_v_01;vn_zpu4_v_quad_02
vn_b_air_f100d_at,F-100D (AT),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_bmb,F-100D (BMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_cap,F-100D (CAP),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_cas,F-100D (CAS),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_cbu,F-100D (CBU),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_ehcas,F-100D (EHCAS),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_hbmb,F-100D (HBMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_hcas,F-100D (HCAS),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_lbmb,F-100D (LBMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_mbmb,F-100D (MBMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_mr,F-100D (MR),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f100d_sead,F-100D (SEAD),WEST,MACV,Planes (USAF),FIXED_WING,vn_m39a1_v_quad
vn_b_air_f4b_navy_at,F-4B Phantom II (AT),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_at,F-4B Phantom II (AT),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_bmb,F-4B Phantom II (BMB),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_bmb,F-4B Phantom II (BMB),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_cap,F-4B Phantom II (CAP),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_cap,F-4B Phantom II (CAP),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_cas,F-4B Phantom II (CAS),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_cas,F-4B Phantom II (CAS),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_cbu,F-4B Phantom II (CBU),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_cbu,F-4B Phantom II (CBU),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_ehcas,F-4B Phantom II (EHCAS),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_ehcas,F-4B Phantom II (EHCAS),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_gbu,F-4B Phantom II (GBU),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_gbu,F-4B Phantom II (GBU),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_hbmb,F-4B Phantom II (HBMB),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_hbmb,F-4B Phantom II (HBMB),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_hcas,F-4B Phantom II (HCAS),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_hcas,F-4B Phantom II (HCAS),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_lbmb,F-4B Phantom II (LBMB),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_lbmb,F-4B Phantom II (LBMB),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_lrbmb,F-4B Phantom II (LRBMB),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_lrbmb,F-4B Phantom II (LRBMB),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_mbmb,F-4B Phantom II (MBMB),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_mbmb,F-4B Phantom II (MBMB),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_mr,F-4B Phantom II (MR),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_mr,F-4B Phantom II (MR),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_sead,F-4B Phantom II (SEAD),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_sead,F-4B Phantom II (SEAD),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_navy_ucas,F-4B Phantom II (UCAS),WEST,MACV,Planes (US Navy),FIXED_WING,CMFlareLauncher
vn_b_air_f4b_usmc_ucas,F-4B Phantom II (UCAS),WEST,MACV,Planes (USMC),FIXED_WING,CMFlareLauncher
vn_b_air_f4c_at,F-4C Phantom II (AT),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_bmb,F-4C Phantom II (BMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_cap,F-4C Phantom II (CAP),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_cas,F-4C Phantom II (CAS),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_cbu,F-4C Phantom II (CBU),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_chico,F-4C Phantom II (CHICO),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_ehcas,F-4C Phantom II (EHCAS),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_gbu,F-4C Phantom II (GBU),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_hbmb,F-4C Phantom II (HBMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_hcas,F-4C Phantom II (HCAS),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_lbmb,F-4C Phantom II (LBMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_lrbmb,F-4C Phantom II (LRBMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_mbmb,F-4C Phantom II (MBMB),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_mr,F-4C Phantom II (MR),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_sead,F-4C Phantom II (SEAD),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_air_f4c_ucas,F-4C Phantom II (UCAS),WEST,MACV,Planes (USAF),FIXED_WING,vn_cmflarelauncher_singles_f4c
vn_b_wheeled_m151_01,M151A1 Transport,WEST,MACV,Cars (US Army),GROUND,CarHorn
vn_b_wheeled_m151_01_aus_army,M151A1 Transport,WEST,Australia,Cars (Army),GROUND,CarHorn
vn_b_wheeled_m151_01_nz_army,M151A1 Transport,WEST,New Zealand,Cars (Army),GROUND,CarHorn
vn_b_wheeled_m151_01_rok_army,M151A1 Transport,WEST,Republic Of Korea,Cars (Army),GROUND,CarHorn
vn_b_wheeled_m151_01_rok_marines,M151A1 Transport,WEST,Republic Of Korea,Cars (Marines),GROUND,CarHorn
vn_b_wheeled_m151_01_usmc,M151A1 Transport,WEST,MACV,Cars (USMC),GROUND,CarHorn
vn_b_wheeled_m151_02,M151A1 Transport (Covered),WEST,MACV,Cars (US Army),GROUND,CarHorn
vn_b_wheeled_m151_02_aus_army,M151A1 Transport (Covered),WEST,Australia,Cars (Army),GROUND,CarHorn
vn_b_wheeled_m151_02_nz_army,M151A1 Transport (Covered),WEST,New Zealand,Cars (Army),GROUND,CarHorn
vn_b_wheeled_m151_02_rok_army,M151A1 Transport (Covered),WEST,Republic Of Korea,Cars (Army),GROUND,CarHorn
vn_b_wheeled_m151_02_rok_marines,M151A1 Transport (Covered),WEST,Republic Of Korea,Cars (Marines),GROUND,CarHorn
vn_b_wheeled_m151_02_usmc,M151A1 Transport (Covered),WEST,MACV,Cars (USMC),GROUND,CarHorn
vn_b_wheeled_m151_02_mp,M151A1 Transport (Covered/MP),WEST,MACV,Cars (US Army),GROUND,CarHorn
vn_b_wheeled_m151_01_mp,M151A1 Transport (MP),WEST,MACV,Cars (US Army),GROUND,CarHorn
vn_b_wheeled_m54_01,M54 Transport,WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_01_aus_army,M54 Transport,WEST,Australia,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_01_nz_army,M54 Transport,WEST,New Zealand,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_01_rok_army,M54 Transport,WEST,Republic Of Korea,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_01_rok_marines,M54 Transport,WEST,Republic Of Korea,Cars (Marines),GROUND,TruckHorn2
vn_b_wheeled_m54_01_usmc,M54 Transport,WEST,MACV,Cars (USMC),GROUND,TruckHorn2
vn_b_wheeled_m54_01_airport,M54 Transport (Airport),WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_01_sog,M54 Transport (Black),WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_02,M54 Transport (Covered),WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_02_aus_army,M54 Transport (Covered),WEST,Australia,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_02_nz_army,M54 Transport (Covered),WEST,New Zealand,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_02_rok_army,M54 Transport (Covered),WEST,Republic Of Korea,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_02_rok_marines,M54 Transport (Covered),WEST,Republic Of Korea,Cars (Marines),GROUND,TruckHorn2
vn_b_wheeled_m54_02_usmc,M54 Transport (Covered),WEST,MACV,Cars (USMC),GROUND,TruckHorn2
vn_b_wheeled_m54_02_sog,M54 Transport (Black/covered),WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_repair,M185 Repair Truck,WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_repair_aus_army,M185 Repair Truck,WEST,Australia,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_repair_nz_army,M185 Repair Truck,WEST,New Zealand,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_repair_rok_army,M185 Repair Truck,WEST,Republic Of Korea,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_repair_rok_marines,M185 Repair Truck,WEST,Republic Of Korea,Cars (Marines),GROUND,TruckHorn2
vn_b_wheeled_m54_repair_usmc,M185 Repair Truck,WEST,MACV,Cars (USMC),GROUND,TruckHorn2
vn_b_wheeled_m54_repair_airport,M185 Repair Truck (Airport),WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_fuel,M49 Fuel Truck,WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_fuel_aus_army,M49 Fuel Truck,WEST,Australia,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_fuel_nz_army,M49 Fuel Truck,WEST,New Zealand,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_fuel_rok_army,M49 Fuel Truck,WEST,Republic Of Korea,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_fuel_rok_marines,M49 Fuel Truck,WEST,Republic Of Korea,Cars (Marines),GROUND,TruckHorn2
vn_b_wheeled_m54_fuel_usmc,M49 Fuel Truck,WEST,MACV,Cars (USMC),GROUND,TruckHorn2
vn_b_wheeled_m54_fuel_airport,M49 Fuel Truck (Airport),WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_ammo,M54 Ammo Truck,WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_m54_ammo_aus_army,M54 Ammo Truck,WEST,Australia,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_ammo_nz_army,M54 Ammo Truck,WEST,New Zealand,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_ammo_rok_army,M54 Ammo Truck,WEST,Republic Of Korea,Cars (Army),GROUND,TruckHorn2
vn_b_wheeled_m54_ammo_rok_marines,M54 Ammo Truck,WEST,Republic Of Korea,Cars (Marines),GROUND,TruckHorn2
vn_b_wheeled_m54_ammo_usmc,M54 Ammo Truck,WEST,MACV,Cars (USMC),GROUND,TruckHorn2
vn_b_wheeled_m54_ammo_airport,M54 Ammo Truck (Airport),WEST,MACV,Cars (US Army),GROUND,TruckHorn2
vn_b_wheeled_lr2a_mg_02_aus_army,Dirt Ranger (2x M60),WEST,Australia,Cars (Army),GROUND,vn_DirtRangerHorn;vn_m60_v_twin_lr2a
vn_b_wheeled_lr2a_mg_02_nz_army,Dirt Ranger (2x M60),WEST,New Zealand,Cars (Army),GROUND,vn_DirtRangerHorn;vn_m60_v_twin_lr2a
vn_b_wheeled_lr2a_mg_01_aus_army,Dirt Ranger (M60),WEST,Australia,Cars (Army),GROUND,vn_DirtRangerHorn;vn_m60_v_01
vn_b_wheeled_lr2a_mg_01_nz_army,Dirt Ranger (M60),WEST,New Zealand,Cars (Army),GROUND,vn_DirtRangerHorn;vn_m60_v_01
vn_b_wheeled_lr2a_03_aus_army,Dirt Ranger Ambulance,WEST,Australia,Cars (Army),GROUND,vn_DirtRangerHorn
vn_b_wheeled_lr2a_03_nz_army,Dirt Ranger Ambulance,WEST,New Zealand,Cars (Army),GROUND,vn_DirtRangerHorn
vn_b_wheeled_lr2a_02_aus_army,Dirt Ranger Transport Closed,WEST,Australia,Cars (Army),GROUND,vn_DirtRangerHorn
vn_b_wheeled_lr2a_02_nz_army,Dirt Ranger Transport Closed,WEST,New Zealand,Cars (Army),GROUND,vn_DirtRangerHorn
vn_b_wheeled_lr2a_01_aus_army,Dirt Ranger Transport Open,WEST,Australia,Cars (Army),GROUND,vn_DirtRangerHorn
vn_b_wheeled_lr2a_01_nz_army,Dirt Ranger Transport Open,WEST,New Zealand,Cars (Army),GROUND,vn_DirtRangerHorn
vn_b_wheeled_m151_mg_04,M151A1 Armoured,WEST,MACV,Cars (US Army),GROUND,CarHorn;vn_m60_v_02
vn_b_wheeled_m151_mg_04_usmc,M151A1 Armoured,WEST,MACV,Cars (USMC),GROUND,CarHorn;vn_m60_v_02
vn_b_wheeled_m151_mg_04_mp,M151A1 Armoured (MP),WEST,MACV,Cars (US Army),GROUND,CarHorn;vn_m60_v_02
vn_b_wheeled_m151_mg_01_rok_army,M151A1 M1919,WEST,Republic Of Korea,Cars (Army),GROUND,CarHorn;vn_m1919_v_03
vn_b_wheeled_m151_mg_01_rok_marines,M151A1 M1919,WEST,Republic Of Korea,Cars (Marines),GROUND,CarHorn;vn_m1919_v_03
vn_b_wheeled_m151_mg_02,M151A1 M2,WEST,MACV,Cars (US Army),GROUND,CarHorn;vn_m2_v_01
vn_b_wheeled_m151_mg_02_aus_army,M151A1 M2,WEST,Australia,Cars (Army),GROUND,CarHorn;vn_m2_v_01
vn_b_wheeled_m151_mg_02_nz_army,M151A1 M2,WEST,New Zealand,Cars (Army),GROUND,CarHorn;vn_m2_v_01
vn_b_wheeled_m151_mg_02_rok_army,M151A1 M2,WEST,Republic Of Korea,Cars (Army),GROUND,CarHorn;vn_m2_v_01
vn_b_wheeled_m151_mg_02_rok_marines,M151A1 M2,WEST,Republic Of Korea,Cars (Marines),GROUND,CarHorn;vn_m2_v_01
vn_b_wheeled_m151_mg_02_usmc,M151A1 M2,WEST,MACV,Cars (USMC),GROUND,CarHorn;vn_m2_v_01
