classname,displayName,category,reason
vn_b_uniform_macv_01_05,BDU MACV 1 (Tiger green),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_01_16,BDU RLA 1 (Lizard),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_01_17,BDU ARVN 1 (BDQ),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_02_05,BDU MACV 2 (Tiger green),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_02_07,BDU MACV 2 (Olive),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_02_16,BDU RLA 2 (Lizard),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_02_17,BDU ARVN 2 (BDQ),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_03_05,BDU MACV 3 (Tiger green),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_03_16,BDU RLA 3 (Lizard),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_03_17,BDU ARVN 3 (BDQ),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_04_05,BDU MACV 4 (Tiger green),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_04_16,BDU RLA 4 (Lizard),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_04_17,BDU ARVN 4 (BDQ),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_05_05,BDU MACV 5 (Tiger green),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_05_16,BDU RLA 5 (Lizard),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_05_17,BDU ARVN 5 (BDQ),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_06_05,BDU MACV 6 (Tiger green),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_06_16,BDU RLA 6 (Lizard),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_b_uniform_macv_06_17,BDU ARVN 6 (BDQ),uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_o_uniform_basecharacter_01,Underwear,uniform,No unique WEST/EAST side can be authored from official Used by evidence.
vn_o_vest_04,Vest - VPN,vest,No unique WEST/EAST side can be authored from official Used by evidence.
