WeaponClass,DisplayName,SourceAffiliations,UsedByCount,UsedBy
vn_pps43,PPS-43,EAST+INDEPENDENT,45,vn_i_men_fank_70_03;vn_i_men_fank_70_04;vn_i_men_fank_70_25;vn_o_men_kr_70_19;vn_o_men_kr_70_20;vn_o_men_nva_08;vn_o_men_nva_22;vn_o_men_nva_29;vn_o_men_nva_32;vn_o_men_nva_33;vn_o_men_nva_36;vn_o_men_nva_37;vn_o_men_nva_38;vn_o_men_nva_39;vn_o_men_nva_40;vn_o_men_nva_41;vn_o_men_nva_42;vn_o_men_nva_65_01;vn_o_men_nva_65_15;vn_o_men_nva_65_29;vn_o_men_nva_65_32;vn_o_men_nva_65_35;vn_o_men_nva_65_36;vn_o_men_nva_65_37;vn_o_men_nva_65_38;vn_o_men_nva_65_39;vn_o_men_nva_65_40;vn_o_men_nva_dc_06;vn_o_men_nva_dc_08;vn_o_men_nva_dc_09;vn_o_men_nva_dc_15;vn_o_men_nva_dc_17;vn_o_men_nva_marine_01;vn_o_men_nva_marine_08;vn_o_men_nva_marine_13;vn_o_men_nva_navy_13;vn_o_men_pl_08;vn_o_men_pl_14;vn_o_men_pl_15;vn_o_men_pl_17;vn_o_men_pl_18;vn_o_men_pl_19;vn_o_men_pl_20;vn_o_men_pl_21;vn_o_men_vc_15
vn_ppsh41,PPSh-41,EAST+INDEPENDENT,34,vn_i_men_fank_70_01;vn_i_men_fank_70_08;vn_i_men_fank_70_18;vn_o_men_kr_70_05;vn_o_men_kr_70_08;vn_o_men_kr_70_24;vn_o_men_kr_75_08;vn_o_men_kr_75_13;vn_o_men_nva_01;vn_o_men_nva_06;vn_o_men_nva_09;vn_o_men_nva_13;vn_o_men_nva_15;vn_o_men_nva_20;vn_o_men_nva_23;vn_o_men_nva_27;vn_o_men_nva_65_06;vn_o_men_nva_65_08;vn_o_men_nva_65_09;vn_o_men_nva_65_13;vn_o_men_nva_65_20;vn_o_men_nva_65_22;vn_o_men_nva_65_23;vn_o_men_nva_65_27;vn_o_men_nva_marine_06;vn_o_men_nva_marine_09;vn_o_men_pl_05;vn_o_men_pl_13;vn_o_men_pl_29;vn_o_men_vc_05;vn_o_men_vc_13;vn_o_men_vc_local_05;vn_o_men_vc_local_19;vn_o_men_vc_regional_05
vn_rpd,RPD,WEST+EAST+INDEPENDENT,12,vn_b_men_sf_18;vn_i_men_fank_70_06;vn_o_men_kr_75_11;vn_o_men_nva_11;vn_o_men_nva_25;vn_o_men_nva_65_11;vn_o_men_nva_65_25;vn_o_men_nva_dc_11;vn_o_men_nva_marine_11;vn_o_men_nva_navy_11;vn_o_men_pl_11;vn_o_men_vc_11
vn_rpd_shorty_01,RPD Shorty,NONE,0,
vn_rpg2,B40,WEST+EAST+INDEPENDENT,11,vn_b_men_cidg_08;vn_i_men_fank_70_07;vn_i_men_fank_70_17;vn_i_men_fank_70_22;vn_o_men_nva_marine_14;vn_o_men_nva_navy_14;vn_o_men_pl_14;vn_o_men_pl_26;vn_o_men_vc_local_14;vn_o_men_vc_local_28;vn_o_men_vc_regional_14
vn_rpg7,B41,EAST+INDEPENDENT,10,vn_i_men_fank_70_12;vn_o_men_kr_70_14;vn_o_men_kr_75_07;vn_o_men_kr_75_14;vn_o_men_nva_14;vn_o_men_nva_28;vn_o_men_nva_65_14;vn_o_men_nva_65_28;vn_o_men_nva_dc_14;vn_o_men_vc_14
vn_sa7b,9K32 Strela-2M,NONE,0,
vn_sks,SKS Rifle,EAST+INDEPENDENT,22,vn_i_men_fank_70_12;vn_o_men_kr_70_02;vn_o_men_kr_75_02;vn_o_men_kr_75_16;vn_o_men_nva_02;vn_o_men_nva_14;vn_o_men_nva_16;vn_o_men_nva_28;vn_o_men_nva_43;vn_o_men_nva_44;vn_o_men_nva_65_02;vn_o_men_nva_65_14;vn_o_men_nva_65_16;vn_o_men_nva_65_28;vn_o_men_nva_marine_02;vn_o_men_nva_marine_14;vn_o_men_nva_navy_02;vn_o_men_nva_navy_03;vn_o_men_nva_navy_09;vn_o_men_nva_navy_14;vn_o_men_pl_02;vn_o_men_vc_02
vn_sks_bayo,SKS Rifle (Bayonet),EAST+INDEPENDENT,22,vn_i_men_fank_70_16;vn_o_men_kr_70_03;vn_o_men_kr_70_21;vn_o_men_kr_75_03;vn_o_men_kr_75_12;vn_o_men_kr_75_21;vn_o_men_nva_03;vn_o_men_nva_12;vn_o_men_nva_17;vn_o_men_nva_26;vn_o_men_nva_65_03;vn_o_men_nva_65_12;vn_o_men_nva_65_17;vn_o_men_nva_65_26;vn_o_men_nva_dc_03;vn_o_men_nva_dc_12;vn_o_men_nva_marine_03;vn_o_men_nva_marine_12;vn_o_men_nva_navy_04;vn_o_men_nva_navy_12;vn_o_men_pl_03;vn_o_men_vc_03
vn_sks_gl,SKS Rifle (22mm GL),EAST+INDEPENDENT,8,vn_i_men_fank_70_07;vn_i_men_fank_70_17;vn_o_men_nva_65_07;vn_o_men_nva_65_21;vn_o_men_nva_marine_07;vn_o_men_nva_navy_07;vn_o_men_pl_07;vn_o_men_vc_07
vn_sks_sniper,SKS Rifle (3.5x Optic),EAST+INDEPENDENT,8,vn_i_men_fank_70_10;vn_o_men_nva_10;vn_o_men_nva_24;vn_o_men_nva_65_10;vn_o_men_nva_65_24;vn_o_men_nva_dc_10;vn_o_men_nva_marine_10;vn_o_men_nva_navy_10
vn_sten,Sten Mk.II,INDEPENDENT,1,vn_i_men_fank_71_09
vn_svd,SVD,NONE,0,
vn_svd_sniper_camo,SVD (Sniper/ camo),NONE,0,
vn_tt33,TT-33,EAST+INDEPENDENT,33,vn_i_men_fank_70_01;vn_i_men_fank_70_02;vn_i_men_fank_70_05;vn_i_men_fank_70_06;vn_i_men_fank_70_10;vn_i_men_fank_70_22;vn_i_men_fank_70_23;vn_i_men_fank_70_26;vn_o_men_aircrew_02;vn_o_men_aircrew_04;vn_o_men_aircrew_06;vn_o_men_aircrew_08;vn_o_men_kr_70_01;vn_o_men_kr_75_01;vn_o_men_kr_75_07;vn_o_men_kr_75_14;vn_o_men_nva_04;vn_o_men_nva_12;vn_o_men_nva_18;vn_o_men_nva_26;vn_o_men_nva_49;vn_o_men_nva_50;vn_o_men_nva_65_04;vn_o_men_nva_65_12;vn_o_men_nva_65_18;vn_o_men_nva_65_26;vn_o_men_nva_dc_04;vn_o_men_nva_dc_12;vn_o_men_nva_marine_12;vn_o_men_nva_navy_01;vn_o_men_nva_navy_12;vn_o_men_pl_23;vn_o_men_pl_26
vn_type56,Type 56 Assault Rifle,WEST+EAST+INDEPENDENT,31,vn_b_men_aircrew_39;vn_b_men_cidg_09;vn_b_men_lrrp_01;vn_b_men_seal_04;vn_b_men_seal_27;vn_b_men_seal_39;vn_b_men_seal_44;vn_b_men_sf_01;vn_b_men_sf_09;vn_b_men_sog_01;vn_b_men_sog_09;vn_b_men_sog_11;vn_i_men_fank_70_15;vn_o_men_kr_75_05;vn_o_men_kr_75_15;vn_o_men_kr_75_19;vn_o_men_nva_04;vn_o_men_nva_18;vn_o_men_nva_65_04;vn_o_men_nva_65_18;vn_o_men_nva_dc_01;vn_o_men_nva_dc_04;vn_o_men_nva_dc_14;vn_o_men_nva_marine_04;vn_o_men_nva_navy_01;vn_o_men_nva_navy_05;vn_o_men_pl_01;vn_o_men_pl_09;vn_o_men_pl_22;vn_o_men_vc_06;vn_o_men_vc_14
vn_type56_bayo,Type 56 Assault Rifle (Bayo),EAST+INDEPENDENT,10,vn_i_men_fank_70_09;vn_o_men_kr_75_06;vn_o_men_nva_05;vn_o_men_nva_19;vn_o_men_nva_65_05;vn_o_men_nva_65_19;vn_o_men_nva_dc_02;vn_o_men_nva_dc_05;vn_o_men_nva_marine_05;vn_o_men_nva_navy_06
vn_type64_f_smg,Type 64 SMG (Folded),NONE,0,
vn_vz54,VZ54 Rifle,NONE,0,
vn_vz61,VZ.61,NONE,0,
vn_vz61_p,VZ.61 (Sidearm),NONE,0,
vn_xm16e1,XM16E1,WEST+INDEPENDENT,23,vn_b_men_cidg_02;vn_b_men_cidg_03;vn_b_men_cidg_06;vn_b_men_rok_marine_68_05;vn_b_men_rok_marine_68_08;vn_b_men_rok_marine_68_15;vn_b_men_rok_marine_68_18;vn_b_men_rok_marine_68_21;vn_b_men_rok_marine_68_31;vn_b_men_usmc_68_13;vn_b_men_usmc_68_15;vn_b_men_usmc_68_17;vn_b_men_usmc_68_18;vn_b_men_usmc_68_28;vn_i_men_marine_02;vn_i_men_marine_03;vn_i_men_marine_05;vn_i_men_marine_08;vn_i_men_marine_12;vn_i_men_marine_15;vn_i_men_marine_18;vn_i_men_marine_19;vn_i_men_marine_21
vn_xm16e1_mrk,XM16E1 (4x Optic),NONE,0,
vn_xm16e1_nvg,XM16E1 (NV Optic),NONE,0,
vn_xm16e1_xm148,XM16E1 (XM148),NONE,0,
vn_xm177_m203,XM177E2 (M203),NONE,0,
vn_xm177_mrk,XM177E2 (4x Optic),NONE,0,
vn_xm177_muzzle,XM177E2 (XM148),NONE,0,
vn_xm177_nvg,XM177E2 (NV Optic),NONE,0,
vn_xm177_short,XM177E2 (Short),WEST+INDEPENDENT,11,vn_b_men_jetpilot_01;vn_b_men_jetpilot_02;vn_b_men_jetpilot_03;vn_b_men_jetpilot_04;vn_b_men_jetpilot_05;vn_b_men_jetpilot_06;vn_b_men_jetpilot_07;vn_b_men_jetpilot_08;vn_b_men_jetpilot_11;vn_b_men_jetpilot_12;vn_i_men_aircrew_03
vn_xm177_sniper,XM177E2 (9x Optic),NONE,0,
vn_xm177_stock_camo,XM177E2 (Stock/ Camo),NONE,0,
vn_xm177e1_mrk,XM177E1 (4x Optic),NONE,0,
vn_xm177e1_nvg,XM177E1 (NV Optic),NONE,0,
vn_xm177e1_sniper,XM177E1 (4x Optic),NONE,0,
